year,total_precipitation,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_air_temperature
Jan-10,90,5,67,28,92.7,9.1,16.8
Feb-10,276.5,5.6,77,22,69.5,9.2,18.3
Mar-10,41.5,5.8,71,36,134.9,14.2,19.9
Apr-10,219,5.4,76,21,81.3,13.4,21.2
May-10,574.5,5.1,79,27,111.8,14.8,23.8
Jun-10,220.5,5.4,82,31,128.1,17.6,26.7
Jul-10,348.5,5.7,80,35,146.2,17.4,28.7
Aug-10,281.5,5.3,79,45,183.5,18.9,28.9
Sep-10,193,4.9,76,56,207.2,18.4,28
Oct-10,368,5.3,74,34,119.7,12.3,25.7
Nov-10,194,5.1,66,32,105.1,10.2,21.4
Dec-10,88.5,5.3,64,38,122.7,9.8,18.1
Jan-11,97,5.8,65,18,59.7,6.8,14.9
Feb-11,121.5,4.5,71,33,104.4,11.8,17.6
Mar-11,40,5.2,63,24,88,12.1,17.1
Apr-11,90,4.7,69,48,182.4,18.1,20.4
May-11,299.5,5.1,86,18,75.7,13.1,23.9
Jun-11,223.5,6.4,85,46,189.5,20.6,27.9
Jul-11,111,5.1,81,56,234.9,21.9,28.9
Aug-11,471.5,5.9,81,49,199.2,19,28.3
Sep-11,71.5,5.8,76,56,205.2,19,27.9
Oct-11,212,5,78,32,114.7,11.8,25.2
Nov-11,314,5.7,76,24,78.8,9,23.7
Dec-11,70.5,5.7,69,21,69.8,7.1,18.6
Jan-12,119,5.3,71,16,54.4,6.8,17
Feb-12,109.5,5.2,74,18,57.3,8.5,17.5
Mar-12,81,5.6,71,34,124.8,13.8,19.6
Apr-12,356.5,5.5,75,26,99.6,13.9,21.7
May-12,229.5,5,77,34,141.6,16.9,24.4
Jun-12,372,6,86,30,124.7,16.3,26.9
Jul-12,96,5.4,79,57,239.5,21.5,29.1
Aug-12,674,6.4,82,41,164.1,17,28.5
Sep-12,271.5,5.4,76,43,159.1,15.9,27.2
Oct-12,96.5,6,70,46,163.2,14.2,24.6
Nov-12,214.5,4.7,67,36,115.7,10.5,21
Dec-12,113,5.9,65,29,94.9,8.5,18.5
Jan-13,100,5.5,66,29,94.6,9,17
Feb-13,75,5.1,72,36,111.7,11.6,18.6
Mar-13,140.5,4.9,72,39,143.5,14.3,20.4
Apr-13,202.5,4.9,74,24,93.4,13.5,20.6
May-13,602.5,4.6,81,23,94.1,14.9,23.7
Jun-13,105,5.5,80,53,216,22,27.9
Jul-13,4.5,5,73,64,268.4,23.4,29.4
Aug-13,212,4.7,76,60,241.7,21.2,29.6
Sep-13,178,6,74,56,206.5,18.7,28.3
Oct-13,200,7.3,72,36,129.7,12.4,25.3
