year,total_precipitation,mean_wind_speed,mean_air_temperature,percentage_possible_sunshine,total_sunshine_duration,solar_radiation,mean_relative_humidity
Jan-10,90,5,16.8,28,92.7,9.1,67
Feb-10,276.5,5.6,18.3,22,69.5,9.2,77
Mar-10,41.5,5.8,19.9,36,134.9,14.2,71
Apr-10,219,5.4,21.2,21,81.3,13.4,76
May-10,574.5,5.1,23.8,27,111.8,14.8,79
Jun-10,220.5,5.4,26.7,31,128.1,17.6,82
Jul-10,348.5,5.7,28.7,35,146.2,17.4,80
Aug-10,281.5,5.3,28.9,45,183.5,18.9,79
Sep-10,193,4.9,28,56,207.2,18.4,76
Oct-10,368,5.3,25.7,34,119.7,12.3,74
Nov-10,194,5.1,21.4,32,105.1,10.2,66
Dec-10,88.5,5.3,18.1,38,122.7,9.8,64
Jan-11,97,5.8,14.9,18,59.7,6.8,65
Feb-11,121.5,4.5,17.6,33,104.4,11.8,71
Mar-11,40,5.2,17.1,24,88,12.1,63
Apr-11,90,4.7,20.4,48,182.4,18.1,69
May-11,299.5,5.1,23.9,18,75.7,13.1,86
Jun-11,223.5,6.4,27.9,46,189.5,20.6,85
Jul-11,111,5.1,28.9,56,234.9,21.9,81
Aug-11,471.5,5.9,28.3,49,199.2,19,81
Sep-11,71.5,5.8,27.9,56,205.2,19,76
Oct-11,212,5,25.2,32,114.7,11.8,78
Nov-11,314,5.7,23.7,24,78.8,9,76
Dec-11,70.5,5.7,18.6,21,69.8,7.1,69
Jan-12,119,5.3,17,16,54.4,6.8,71
Feb-12,109.5,5.2,17.5,18,57.3,8.5,74
Mar-12,81,5.6,19.6,34,124.8,13.8,71
Apr-12,356.5,5.5,21.7,26,99.6,13.9,75
May-12,229.5,5,24.4,34,141.6,16.9,77
Jun-12,372,6,26.9,30,124.7,16.3,86
Jul-12,96,5.4,29.1,57,239.5,21.5,79
Aug-12,674,6.4,28.5,41,164.1,17,82
Sep-12,271.5,5.4,27.2,43,159.1,15.9,76
Oct-12,96.5,6,24.6,46,163.2,14.2,70
Nov-12,214.5,4.7,21,36,115.7,10.5,67
Dec-12,113,5.9,18.5,29,94.9,8.5,65
Jan-13,100,5.5,17,29,94.6,9,66
Feb-13,75,5.1,18.6,36,111.7,11.6,72
Mar-13,140.5,4.9,20.4,39,143.5,14.3,72
Apr-13,202.5,4.9,20.6,24,93.4,13.5,74
May-13,602.5,4.6,23.7,23,94.1,14.9,81
Jun-13,105,5.5,27.9,53,216,22,80
Jul-13,4.5,5,29.4,64,268.4,23.4,73
Aug-13,212,4.7,29.6,60,241.7,21.2,76
Sep-13,178,6,28.3,56,206.5,18.7,74
Oct-13,200,7.3,25.3,36,129.7,12.4,72
Nov-13,121,5,21.3,37,120,10.6,66
Dec-13,130,5.4,17.3,27,89.4,8.3,64
Jan-14,66,5,16.8,44,145.4,11,61
Feb-14,227,5.4,17.9,26,82.9,11,72
