year,total_precipitation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_sunshine_duration,solar_radiation,percentage_possible_sunshine
Jan-10,90,67,16.8,5,92.7,9.1,28
Feb-10,276.5,77,18.3,5.6,69.5,9.2,22
Mar-10,41.5,71,19.9,5.8,134.9,14.2,36
Apr-10,219,76,21.2,5.4,81.3,13.4,21
May-10,574.5,79,23.8,5.1,111.8,14.8,27
Jun-10,220.5,82,26.7,5.4,128.1,17.6,31
Jul-10,348.5,80,28.7,5.7,146.2,17.4,35
Aug-10,281.5,79,28.9,5.3,183.5,18.9,45
Sep-10,193,76,28,4.9,207.2,18.4,56
Oct-10,368,74,25.7,5.3,119.7,12.3,34
Nov-10,194,66,21.4,5.1,105.1,10.2,32
Dec-10,88.5,64,18.1,5.3,122.7,9.8,38
Jan-11,97,65,14.9,5.8,59.7,6.8,18
Feb-11,121.5,71,17.6,4.5,104.4,11.8,33
Mar-11,40,63,17.1,5.2,88,12.1,24
Apr-11,90,69,20.4,4.7,182.4,18.1,48
May-11,299.5,86,23.9,5.1,75.7,13.1,18
Jun-11,223.5,85,27.9,6.4,189.5,20.6,46
Jul-11,111,81,28.9,5.1,234.9,21.9,56
Aug-11,471.5,81,28.3,5.9,199.2,19,49
Sep-11,71.5,76,27.9,5.8,205.2,19,56
Oct-11,212,78,25.2,5,114.7,11.8,32
Nov-11,314,76,23.7,5.7,78.8,9,24
Dec-11,70.5,69,18.6,5.7,69.8,7.1,21
Jan-12,119,71,17,5.3,54.4,6.8,16
Feb-12,109.5,74,17.5,5.2,57.3,8.5,18
Mar-12,81,71,19.6,5.6,124.8,13.8,34
Apr-12,356.5,75,21.7,5.5,99.6,13.9,26
May-12,229.5,77,24.4,5,141.6,16.9,34
Jun-12,372,86,26.9,6,124.7,16.3,30
Jul-12,96,79,29.1,5.4,239.5,21.5,57
Aug-12,674,82,28.5,6.4,164.1,17,41
Sep-12,271.5,76,27.2,5.4,159.1,15.9,43
Oct-12,96.5,70,24.6,6,163.2,14.2,46
Nov-12,214.5,67,21,4.7,115.7,10.5,36
Dec-12,113,65,18.5,5.9,94.9,8.5,29
Jan-13,100,66,17,5.5,94.6,9,29
Feb-13,75,72,18.6,5.1,111.7,11.6,36
Mar-13,140.5,72,20.4,4.9,143.5,14.3,39
Apr-13,202.5,74,20.6,4.9,93.4,13.5,24
May-13,602.5,81,23.7,4.6,94.1,14.9,23
Jun-13,105,80,27.9,5.5,216,22,53
Jul-13,4.5,73,29.4,5,268.4,23.4,64
Aug-13,212,76,29.6,4.7,241.7,21.2,60
Sep-13,178,74,28.3,6,206.5,18.7,56
Oct-13,200,72,25.3,7.3,129.7,12.4,36
Nov-13,121,66,21.3,5,120,10.6,37
Dec-13,130,64,17.3,5.4,89.4,8.3,27
Jan-14,66,61,16.8,5,145.4,11,44
Feb-14,227,72,17.9,5.4,82.9,11,26
Mar-14,185,69,18.4,5.6,110.1,12.9,30
Apr-14,100.5,73,20.9,5.1,149.1,17.2,39
May-14,354.5,81,23.6,4.9,112.5,15.5,27
Jun-14,397.5,85,26.9,5.1,134.5,16.7,33
Jul-14,494,80,29.3,6.3,235.5,21.8,56
Aug-14,229,82,28.7,4.6,175.7,17.3,44
Sep-14,95.5,75,28.8,4.2,224,19.1,61
Oct-14,269,70,25.4,6.7,171.2,14.1,48
Nov-14,49.5,68,22.6,5.1,134.7,11.6,41
Dec-14,117,62,17.6,5.7,84.6,8.1,26
Jan-15,22,61,16.6,5.3,90.7,8.5,27
Feb-15,47,65,16.8,4.7,114.1,12.2,36
Mar-15,95.5,72,19,5.1,126.5,14.1,34
Apr-15,100,76,22.2,4.8,118.9,15.2,31
May-15,197.5,81,24.9,4.7,144.2,17.6,35
Jun-15,38,83,28.7,5.8,221.7,21.8,54
Jul-15,369,79,29,6.3,202.3,20.2,48
Aug-15,278,79,28.7,5.5,170.2,18,42
Sep-15,46.5,73,27.8,4.5,208.5,19,57
Oct-15,63.5,68,25.5,5,174.6,14.8,49
Nov-15,95,71,23.8,4.9,139.7,11.7,43
Dec-15,73,68,20.1,5.4,102.4,8.8,31
Jan-16,272.5,71,17.4,5.3,75.8,7.5,23
Feb-16,157.5,65,16.9,5.9,83.1,10.2,26
Mar-16,168.5,70,18.7,5,106.6,12.4,29
Apr-16,350.5,82,23,5.4,125.5,16.4,33
May-16,129.5,82,25.7,4.9,143.2,17.5,35
Jun-16,319.5,82,28.4,5,185.7,19.1,45
Jul-16,193,76,29.8,5,253,22.9,60
Aug-16,209,74,29.5,4.2,226.4,19.7,56
Sep-16,342,78,28.4,5.6,141.8,15.6,38
Oct-16,75.5,79,27.7,5.1,175.6,14.5,49
Nov-16,103,66,23.2,4.8,128.4,11.2,39
Dec-16,47.5,63,20.5,5.4,112.1,9.6,34
Jan-17,92.5,64,18.4,4.7,77,8.4,23
Feb-17,84,63,17.1,5.2,79.9,10.5,25
Mar-17,96.5,67,18.3,5,102.4,12.3,28
Apr-17,67,71,21.6,5.2,128.6,15.7,34
May-17,315.5,78,24.2,4.5,112.1,15.7,27
Jun-17,444.5,85,26.6,5.1,107.7,15.6,26
Jul-17,44,74,29.9,3.7,267.2,23.1,64
