year,solar_radiation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_sunshine_duration,percentage_possible_sunshine,total_precipitation
Jan-10,9.1,67,16.8,5,92.7,28,90
Feb-10,9.2,77,18.3,5.6,69.5,22,276.5
Mar-10,14.2,71,19.9,5.8,134.9,36,41.5
Apr-10,13.4,76,21.2,5.4,81.3,21,219
May-10,14.8,79,23.8,5.1,111.8,27,574.5
Jun-10,17.6,82,26.7,5.4,128.1,31,220.5
Jul-10,17.4,80,28.7,5.7,146.2,35,348.5
Aug-10,18.9,79,28.9,5.3,183.5,45,281.5
Sep-10,18.4,76,28,4.9,207.2,56,193
Oct-10,12.3,74,25.7,5.3,119.7,34,368
Nov-10,10.2,66,21.4,5.1,105.1,32,194
Dec-10,9.8,64,18.1,5.3,122.7,38,88.5
Jan-11,6.8,65,14.9,5.8,59.7,18,97
Feb-11,11.8,71,17.6,4.5,104.4,33,121.5
Mar-11,12.1,63,17.1,5.2,88,24,40
Apr-11,18.1,69,20.4,4.7,182.4,48,90
May-11,13.1,86,23.9,5.1,75.7,18,299.5
Jun-11,20.6,85,27.9,6.4,189.5,46,223.5
Jul-11,21.9,81,28.9,5.1,234.9,56,111
Aug-11,19,81,28.3,5.9,199.2,49,471.5
Sep-11,19,76,27.9,5.8,205.2,56,71.5
Oct-11,11.8,78,25.2,5,114.7,32,212
Nov-11,9,76,23.7,5.7,78.8,24,314
Dec-11,7.1,69,18.6,5.7,69.8,21,70.5
Jan-12,6.8,71,17,5.3,54.4,16,119
Feb-12,8.5,74,17.5,5.2,57.3,18,109.5
Mar-12,13.8,71,19.6,5.6,124.8,34,81
Apr-12,13.9,75,21.7,5.5,99.6,26,356.5
May-12,16.9,77,24.4,5,141.6,34,229.5
Jun-12,16.3,86,26.9,6,124.7,30,372
Jul-12,21.5,79,29.1,5.4,239.5,57,96
Aug-12,17,82,28.5,6.4,164.1,41,674
Sep-12,15.9,76,27.2,5.4,159.1,43,271.5
Oct-12,14.2,70,24.6,6,163.2,46,96.5
Nov-12,10.5,67,21,4.7,115.7,36,214.5
Dec-12,8.5,65,18.5,5.9,94.9,29,113
Jan-13,9,66,17,5.5,94.6,29,100
Feb-13,11.6,72,18.6,5.1,111.7,36,75
Mar-13,14.3,72,20.4,4.9,143.5,39,140.5
Apr-13,13.5,74,20.6,4.9,93.4,24,202.5
May-13,14.9,81,23.7,4.6,94.1,23,602.5
Jun-13,22,80,27.9,5.5,216,53,105
Jul-13,23.4,73,29.4,5,268.4,64,4.5
Aug-13,21.2,76,29.6,4.7,241.7,60,212
Sep-13,18.7,74,28.3,6,206.5,56,178
Oct-13,12.4,72,25.3,7.3,129.7,36,200
Nov-13,10.6,66,21.3,5,120,37,121
Dec-13,8.3,64,17.3,5.4,89.4,27,130
Jan-14,11,61,16.8,5,145.4,44,66
Feb-14,11,72,17.9,5.4,82.9,26,227
Mar-14,12.9,69,18.4,5.6,110.1,30,185
Apr-14,17.2,73,20.9,5.1,149.1,39,100.5
May-14,15.5,81,23.6,4.9,112.5,27,354.5
Jun-14,16.7,85,26.9,5.1,134.5,33,397.5
Jul-14,21.8,80,29.3,6.3,235.5,56,494
Aug-14,17.3,82,28.7,4.6,175.7,44,229
Sep-14,19.1,75,28.8,4.2,224,61,95.5
Oct-14,14.1,70,25.4,6.7,171.2,48,269
Nov-14,11.6,68,22.6,5.1,134.7,41,49.5
Dec-14,8.1,62,17.6,5.7,84.6,26,117
Jan-15,8.5,61,16.6,5.3,90.7,27,22
Feb-15,12.2,65,16.8,4.7,114.1,36,47
Mar-15,14.1,72,19,5.1,126.5,34,95.5
Apr-15,15.2,76,22.2,4.8,118.9,31,100
May-15,17.6,81,24.9,4.7,144.2,35,197.5
Jun-15,21.8,83,28.7,5.8,221.7,54,38
Jul-15,20.2,79,29,6.3,202.3,48,369
Aug-15,18,79,28.7,5.5,170.2,42,278
Sep-15,19,73,27.8,4.5,208.5,57,46.5
Oct-15,14.8,68,25.5,5,174.6,49,63.5
Nov-15,11.7,71,23.8,4.9,139.7,43,95
Dec-15,8.8,68,20.1,5.4,102.4,31,73
Jan-16,7.5,71,17.4,5.3,75.8,23,272.5
Feb-16,10.2,65,16.9,5.9,83.1,26,157.5
Mar-16,12.4,70,18.7,5,106.6,29,168.5
Apr-16,16.4,82,23,5.4,125.5,33,350.5
May-16,17.5,82,25.7,4.9,143.2,35,129.5
Jun-16,19.1,82,28.4,5,185.7,45,319.5
Jul-16,22.9,76,29.8,5,253,60,193
Aug-16,19.7,74,29.5,4.2,226.4,56,209
Sep-16,15.6,78,28.4,5.6,141.8,38,342
Oct-16,14.5,79,27.7,5.1,175.6,49,75.5
Nov-16,11.2,66,23.2,4.8,128.4,39,103
Dec-16,9.6,63,20.5,5.4,112.1,34,47.5
Jan-17,8.4,64,18.4,4.7,77,23,92.5
Feb-17,10.5,63,17.1,5.2,79.9,25,84
Mar-17,12.3,67,18.3,5,102.4,28,96.5
Apr-17,15.7,71,21.6,5.2,128.6,34,67
May-17,15.7,78,24.2,4.5,112.1,27,315.5
Jun-17,15.6,85,26.6,5.1,107.7,26,444.5
Jul-17,23.1,74,29.9,3.7,267.2,64,44
Aug-17,21.3,74,30.4,4.8,242.1,60,56.5
Sep-17,17.1,75,28.9,4.9,186.1,50,239.5
Oct-17,14.4,73,27,6.3,155.8,44,270
Nov-17,9.5,71,22.8,5.4,85.6,26,146.5
Dec-17,9,61,18,5.3,101.5,31,50.5
Jan-18,8.1,67,17.2,5.5,74.9,23,150.5
Feb-18,11.4,66,16.9,5.4,97.9,31,84
Mar-18,16.9,67,19.9,5.2,181.6,49,100.5
Apr-18,17.8,72,21.6,4.9,161.3,42,126
May-18,22.3,78,25.6,4.7,238.4,58,33
Jun-18,19.2,82,27.8,5.2,171.7,42,218.5
Jul-18,18.7,82,28.3,6.5,179.7,43,429
Aug-18,18.9,82,28.5,5.4,203.4,50,310
Sep-18,17.2,79,28.4,5.5,174.6,47,334.5
Oct-18,13.1,72,23.9,5.2,151.8,43,375
Nov-18,12.1,71,23.1,4.8,155.9,48,160.5
Dec-18,8.1,73,20.4,5.2,85.3,26,148
Jan-19,9.3,67,18.1,4.6,97.4,29,55
Feb-19,10.7,79,20,4.4,78.4,25,156.5
Mar-19,14.1,70,19.9,5.5,129.8,35,183.5
Apr-19,15.2,78,22.3,5,119.2,31,128
May-19,17.5,74,24.2,4.4,150.7,36,208.5
Jun-19,14.7,89,26.5,5.2,90.7,22,595.5
Jul-19,19.2,84,28.9,5.4,196.2,47,284
Aug-19,18.9,83,29.2,5.6,191.3,47,208
Sep-19,15.7,82,28,6.2,154.2,42,477.5
Oct-19,15.8,75,26,5,198.8,56,104.5
Nov-19,11.5,70,23.1,5.5,135.7,42,136
Dec-19,9.4,73,20,5.1,123.2,38,100.5
